gameid,playoffs,game,team_x,gamelength,result,kills,deaths,assists,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,firstdragon,dragons,elementaldrakes,infernals,mountains,clouds,oceans,elders,firstherald,heralds,firstbaron,barons,firsttower,towers,firstmidtower,firsttothreetowers,inhibitors,damagetochampions,dpm,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,goldspent,gspd,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,golddiffat10,xpdiffat10,csdiffat10,golddiffat15,xpdiffat15,csdiffat15,team_y
4268-5346,0,1,Invictus Gaming,2121,1,7,-7,27,3.0,1.0,0.0,0.0,1.0,0.19799999999999995,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,0.0,0.0,0.0,-1.0,1.0,1.0,1.0,5.0,1.0,1.0,3.0,20189,571.1172999999999,-450.1839,-1790.2404999999999,2,0.056599999999999984,7,0.19800000000000018,-6,17.0,0.4809000000000001,7696,7696,217.70859999999993,2715.0,0.0907002,35,17,9,1987.0,1286.0,48.0,1112.0,45.0,36.0,Top Esports
4268-5347,0,2,Top Esports,1895,0,-9,9,-30,1.0,-1.0,0.0,0.0,1.0,-0.2849,0.0,1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,1.0,1.0,0.0,-1.0,1.0,-5.0,1.0,1.0,-2.0,3507,111.03960000000006,-560.4539,-277.8364999999999,-10,-0.31659999999999977,9,0.28490000000000015,-7,18.0,0.5699000000000005,-7182,-7182,-227.39840000000015,-509.0,-0.01999194,1,-6,0,-171.0,-477.0,-27.0,-524.0,-1439.0,-23.0,Invictus Gaming
4271-5352,0,1,Bilibili Gaming,1860,1,14,-14,30,3.0,2.0,0.0,0.0,1.0,0.4516,0.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,-1.0,1.0,1.0,1.0,10.0,1.0,1.0,3.0,7471,241.0,150.8710000000001,-150.96780000000035,11,0.3549000000000002,7,0.2258,16,58.0,1.8709999999999996,14527,14527,468.61299999999994,8925.0,0.37747800000000004,92,5,40,919.0,1078.0,20.0,1770.0,1787.0,51.0,LGD Gaming
4271-5353,0,2,LGD Gaming,2071,0,-7,7,-23,-1.0,0.0,0.0,0.0,1.0,-0.20279999999999998,0.0,1.0,1.0,1.0,0.0,0.0,2.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-9.0,0.0,0.0,-2.0,-24905,-721.5355000000002,593.7422000000001,-346.6151,-47,-1.3617,3,0.08689999999999998,-19,-91.0,-2.6365,-11025,-11025,-319.4109000000001,-4895.0,-0.1738574,-88,-18,-30,-1421.0,-1166.0,-51.0,-2512.0,-66.0,-34.0,Bilibili Gaming
4272-5354,0,1,Vici Gaming,2100,1,19,-19,67,6.0,0.0,0.0,0.0,1.0,0.5428000000000001,0.0,1.0,4.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,-1.0,1.0,2.0,1.0,8.0,1.0,1.0,1.0,13571,387.7428,32.171499999999924,-393.1713999999997,-27,-0.7713999999999999,43,1.2285,10,93.0,2.657099999999999,13369,13369,381.9714,12105.0,0.420842,39,2,20,-80.0,-465.0,-39.0,1135.0,1028.0,-37.0,Suning
4272-5355,0,2,Suning,1599,1,7,-7,22,0.0,0.0,0.0,0.0,1.0,0.2626,0.0,1.0,1.0,0.0,0.25,0.25,0.25,0.25,0.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,2.0,9990,374.85929999999985,-270.6567,27.016800000000103,16,0.6003999999999996,-2,-0.07510000000000017,-8,34.0,1.2758000000000003,11839,11839,444.24019999999996,9665.0,0.48183400000000004,48,1,15,1024.0,1738.0,28.0,2661.0,860.0,29.0,Vici Gaming
ESPORTSTMNT01/1041205,0,1,DAMWON Gaming,2255,1,10,-10,24,1.0,0.0,0.0,0.0,0.0,0.2661,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,7.0,1.0,1.0,1.0,9951,264.77160000000003,67.29039999999986,-775.7693999999999,41,1.0909,-14,-0.37250000000000005,-12,31.0,0.8248000000000006,12070,12070,321.153,8958.0,0.291416,27,4,9,233.0,54.0,10.0,-925.0,-1398.0,-23.0,Gen.G
4272-5356,0,3,Vici Gaming,1663,0,-10,10,-31,-1.0,0.0,0.0,0.0,0.0,-0.3608,0.0,0.0,-3.0,-3.0,-1.0,0.0,0.0,-2.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-10.0,0.0,0.0,-3.0,-28179,-1016.6807000000001,1010.2225000000003,224.8827000000001,-34,-1.2267000000000001,14,0.5050999999999999,-4,-49.0,-1.7679,-16465,-16465,-594.0468999999999,-8753.0,-0.40610999999999997,-53,9,-25,-2227.0,-281.0,-24.0,-3692.0,267.0,-14.0,Suning
ESPORTSTMNT01/1041216,0,2,Gen.G,1799,0,-6,6,-13,0.0,0.0,0.0,0.0,0.0,-0.2001,0.0,1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-7.0,0.0,0.0,-1.0,-2639,-88.01559999999995,-124.56919999999991,404.1245000000001,-21,-0.7003999999999997,7,0.23349999999999982,1,-12.0,-0.4002000000000008,-6739,-6739,-224.7582,-4617.0,-0.18667179999999997,-53,-15,-10,-47.0,-110.0,25.0,-218.0,-1766.0,6.0,DAMWON Gaming
ESPORTSTMNT03/1010119,0,1,Machi Esports,2382,0,2,-2,11,-2.0,-1.0,0.0,0.0,1.0,0.0504,0.0,1.0,3.0,3.0,0.0,-1.0,2.0,2.0,0.0,1.0,1.0,0.0,-1.0,1.0,-4.0,1.0,1.0,-1.0,-7957,-200.4282000000003,189.37030000000004,467.58190000000013,31,0.7807999999999997,-1,-0.02519999999999989,16,64.0,1.6120999999999999,-2598,-2598,-65.44080000000008,1265.0,0.0403074,27,-6,6,1485.0,-233.0,15.0,2559.0,530.0,32.0,J Team
